equipment;address;start_bit;n_bit;type;var_name;mult;func;up_addr;alarm;;;;;;;;;;;
Inversor;4999;15;16;U16;Device type code;1;5;0;0;;;;5000;;;;;;;
Inversor;5000;15;16;U16;Nominal active power;0.1;5;0;0;;;;5001;;;;;;;
Inversor;5001;15;16;U16;Output type;;5;0;0;;;;5002;;;;;;;
Inversor;5002;15;16;U16;Daily power yields;0.1;5;0;0;;;;5003;;;;;;;
Inversor;5003;31;32;U32;Total power yields;1;5;0;0;;;;5004;;;;;;;
Inversor;5005;31;32;U32;Total running time;1;5;0;0;;;;5006;;;;;;;
Inversor;5007;31;32;S16;Internal temperature_°C;0.1;5;0;0;;;;5008;;;;;;;
Inversor;5008;31;32;U32;Total apparent power;1;5;0;0;;;;5009;;;;;;;
Inversor;5010;15;16;U16;MPPT 1 voltage;0.1;5;0;0;;;;5011;;;;;;;U16
Inversor;5011;15;16;U16;MPPT 1 current;0.1;5;0;0;;;;5012;;;;;;;
Inversor;5012;15;16;U16;MPPT 2 voltage;0.1;5;0;0;;;;5013;;;;;;;
Inversor;5013;15;16;U16;MPPT 2 current;0.1;5;0;0;;;;5014;;;;;;;
Inversor;5014;15;16;U16;MPPT 3 voltage;0.1;5;0;0;;;;5015;;;;;;;
Inversor;5015;15;16;U16;MPPT 3 current;0.1;5;0;0;;;;5016;;;;;;;
Inversor;5016;31;32;U32;Total DC power;1;5;0;0;;;;5017;;;;;;;
Inversor;5018;15;16;U16;A-B line voltage/phase A voltage;0.1;5;0;0;;;;5019;;;;;;;
Inversor;5019;15;16;U16;B-C line Voltage/phase B Voltage;0.1;5;0;0;;;;5020;;;;;;;
Inversor;5020;15;16;U16;C-A line Voltage/phase C Voltage;0.1;5;0;0;;;;5021;;;;;;;
Inversor;5021;15;16;U16;Phase A current;0.1;5;0;0;;;;5022;;;;;;;
Inversor;5022;15;16;U16;Phase B current;0.1;5;0;0;;;;5023;;;;;;;
Inversor;5023;15;16;U16;Phase C current;0.1;5;0;0;;;;5024;;;;;;;
Inversor;5030;31;32;U32;Total active power;1;5;0;0;;;;5031;;;;;;;
Inversor;5032;31;32;S32;Total reactive power;1;5;0;0;;;;5033;;;;;;;
Inversor;5034;31;32;S16;Power factor;0.001;5;0;0;;;;5035;;;;;;;
Inversor;5035;15;16;U16;Grid frequency;0.1;5;0;0;;;;5036;;;;;;;
Inversor;5037;15;16;U16;Work state;1;5;0;0;;;;5038;;;;;;;
Inversor;5038;15;16;U16;Fault/Alarm time: Year;1;5;0;0;;;;5039;;;;;;;
Inversor;5039;15;16;U16;Fault/Alarm time: Month;1;5;0;0;;;;5040;;;;;;;
Inversor;5040;15;16;U16;Fault/Alarm time: Day;1;5;0;0;;;;5041;;;;;;;
Inversor;5041;15;16;U16;Fault/Alarm time: Hour;1;5;0;0;;;;5042;;;;;;;
Inversor;5042;15;16;U16;Fault/Alarm time: Minute;1;5;0;0;;;;5043;;;;;;;
Inversor;5043;15;16;U16;Fault/Alarm time: Second;1;5;0;0;;;;5044;;;;;;;
Inversor;5044;15;16;U16;Fault/Alarm code 1;1;5;0;0;;;;5045;;;;;;;
